Date,AR#,Location,Lgnl,Tflux,Ediss,Fidx,Level
26/11/2005,10824,S14W09,0.0000,0.0864,0.0570,10.09,0
04/12/2005,10828,S04E04,0.0074,0.0714,0.0559,1.34,0
15/12/2005,10835,N19W03,0.0099,0.0846,0.0556,7.13,0
19/12/2005,10837,S10W10,0.0124,0.0898,0.0762,2.04,0
04/11/1998,8375,N19W08,0.1687,0.2831,0.1814,220.89,1
02/06/1999,8562,S16E07,0.1663,0.1485,0.1562,21.70,1
26/06/1999,8598,N23E09,0.1390,0.5181,0.4271,71.20,1
29/06/1999,8603,S15E16,0.0099,0.3053,0.2228,77.20,1
01/07/1999,8611,S25E18,0.1464,0.2096,0.1995,160.70,1
02/08/1999,8651,N24E08,0.2010,0.5600,0.4127,153.10,1
03/08/1999,8651,N25W04,0.1638,0.5391,0.4024,153.10,1
26/08/1999,8674,S22E09,0.3474,0.8689,0.6256,346.70,1
11/11/1999,8759,N09E14,0.3251,0.5733,0.4180,113.50,1
25/11/1999,8778,S15E06,0.0695,0.1786,0.1659,138.90,1
27/11/1999,8778,S14W17,0.1117,0.2268,0.1908,138.90,1
16/03/2000,8910,N11E18,0.0868,0.2468,0.2022,437.51,1
10/04/2000,8948,S15E03,0.2333,0.3326,0.2544,216.10,1
18/04/2000,8963,N16E18,0.0298,0.1966,0.1272,54.70,1
19/04/2000,8963,N14E09,0.0720,0.1998,0.1573,54.70,1
17/05/2000,8996,S20E16,0.2258,0.5371,0.4195,129.40,1
08/06/2000,9026,N20W06,0.1613,0.4098,0.4023,945.23,1
07/07/2000,9070,N20E14,0.1886,0.2749,0.3008,186.80,1
08/07/2000,9070,N17W01,0.1836,0.2926,0.3151,186.80,1
05/09/2000,9154,S20E06,0.1538,0.2058,0.2225,55.56,1
30/09/2000,9173,S12E13,0.0819,0.2051,0.1689,50.30,1
09/10/2000,9182,N02W04,0.0099,0.1200,0.0582,69.50,1
31/10/2000,9209,S23W06,0.0893,0.2161,0.1655,81.20,1
22/11/2000,9236,N20E12,0.0993,0.2635,0.1476,1326.30,1
06/03/2001,9368,N26W08,0.0943,0.2840,0.2100,167.00,1
27/03/2001,9393,N18E08,0.4739,0.8200,0.7258,2954.50,1
21/05/2001,9461,N22E08,0.0273,0.2481,0.1674,18.36,1
15/07/2001,9539,S17W01,0.0893,0.1074,0.0994,60.60,1
10/09/2001,9608,S23E14,0.5732,0.7707,0.4986,498.24,1
11/09/2001,9608,S29E10,0.4268,0.6911,0.4343,498.24,1
13/09/2001,9610,S13W08,0.2010,0.4257,0.2551,31.60,1
24/09/2001,9628,S18E07,0.3027,0.6807,0.3903,274.00,1
30/09/2001,9636,N12W05,0.1663,0.4392,0.3169,100.30,1
24/10/2001,9672,S17E00,0.1315,0.3531,0.2234,475.10,1
27/10/2001,9678,N07E05,0.1241,0.2637,0.1853,103.10,1
30/10/2001,9682,N12E02,0.2159,0.4462,0.3167,269.70,1
03/11/2001,9684,N05W17,0.1290,0.2757,0.1775,145.00,1
20/11/2001,9704,S17W09,0.1663,0.4064,0.2307,283.60,1
06/01/2002,9767,S21W14,0.0323,0.5565,0.2709,61.50,1
08/01/2002,9773,N14E05,0.0943,0.3114,0.2196,290.56,1
10/01/2002,9773,N14W17,0.1811,0.4666,0.3365,290.56,1
16/07/2002,10030,N21E01,0.2233,0.5169,0.4707,793.73,1
27/07/2002,10039,S17E17,0.5136,0.8234,0.7370,733.80,1
29/07/2002,10050,S07E06,0.0695,0.2083,0.2113,60.20,1
02/08/2002,10057,S09E05,0.0496,0.0629,0.0714,72.70,1
05/09/2002,10096,N08W01,0.0596,0.3391,0.2657,23.80,1
02/10/2002,10137,S20E18,0.1191,0.1633,0.1728,174.64,1
05/11/2002,10177,N16W09,0.1340,0.2487,0.2252,80.30,1
06/11/2002,10180,S09W07,0.2407,0.3387,0.3391,259.50,1
22/02/2003,10290,N17W06,0.0769,0.1757,0.1458,36.06,1
15/03/2003,10314,S15W13,0.0620,0.1368,0.1919,529.20,1
01/05/2003,10349,S13E07,0.0893,0.3521,0.2549,86.37,1
07/06/2003,10375,N11E09,0.1514,0.3160,0.3202,1358.62,1
08/06/2003,10375,N11W03,0.1836,0.3562,0.3566,1358.62,1
18/07/2003,10410,S12E09,0.0447,0.1763,0.1692,91.71,1
15/08/2003,10431,S13W02,0.2035,0.3798,0.3812,124.65,1
28/10/2003,10488,N09W05,0.2357,0.3883,0.5545,881.80,1
25/02/2004,10564,N14W13,0.1092,0.2944,0.2537,238.04,1
29/03/2004,10582,N13E18,0.2010,0.2764,0.2162,144.65,1
31/03/2004,10582,N13W14,0.0844,0.2313,0.1605,144.65,1
19/07/2004,10649,S09W00,0.1737,0.4292,0.3259,1381.59,1
11/08/2004,10656,S14E13,0.1191,0.3580,0.3154,1260.24,1
04/06/2005,10772,S18E09,0.0397,0.0898,0.1061,98.41,1
02/07/2005,10785,S17E04,0.0199,0.0451,0.0431,15.56,1
14/09/2005,10808,S11E02,0.2705,0.4970,0.5185,4886.56,1
15/03/1998,8179,S24W04,0.1514,0.3054,0.2312,100.32,2
26/03/1998,8185,S24E04,0.1191,0.3059,0.1923,48.46,2
01/05/1998,8210,S17E05,0.0769,0.1908,0.0995,422.59,2
30/06/1999,8603,S14W01,0.0893,0.2998,0.2428,77.20,2
02/07/1999,8611,S26E08,0.2531,0.2536,0.2508,160.70,2
24/07/1999,8636,N20W06,0.1638,0.4340,0.3321,94.99,2
19/08/1999,8672,N16W02,0.0596,0.1164,0.0970,10.00,2
27/08/1999,8674,S21W04,0.4144,0.9085,0.6989,346.70,2
12/11/1999,8759,N10E05,0.2233,0.5727,0.4486,113.50,2
26/11/1999,8778,S14W06,0.0868,0.2062,0.1671,138.90,2
22/12/1999,8806,N19E09,0.1390,0.4728,0.3825,259.78,2
18/01/2000,8831,S17E00,0.0372,0.2686,0.1780,49.00,2
17/02/2000,8872,S28E05,0.0124,0.1196,0.0714,13.80,2
13/03/2000,8906,S17E02,0.2506,0.5409,0.3664,284.10,2
20/07/2000,9087,S12W02,0.1737,0.4648,0.3947,443.60,2
25/07/2000,9097,N06W02,0.0596,0.2461,0.1627,149.80,2
16/09/2000,9165,N15E00,0.0943,0.1973,0.1628,259.60,2
09/11/2000,9221,S12E08,0.0000,0.1329,0.0839,10.00,2
18/11/2000,9231,S21E00,0.1365,0.3023,0.2577,99.01,2
23/11/2000,9236,N22E04,0.1340,0.2945,0.2078,1326.30,2
10/01/2001,9302,N19W00,0.0372,0.3630,0.2223,56.10,2
28/03/2001,9393,N17W04,0.4739,0.8608,0.8132,2954.50,2
09/04/2001,9415,S21E04,0.1737,0.3813,0.3771,2811.82,2
25/04/2001,9433,N19E04,0.2333,0.7455,0.6640,541.09,2
05/05/2001,9445,N25W02,0.1514,0.3671,0.2907,70.80,2
13/05/2001,9455,S17E01,0.1538,0.1218,0.1766,161.04,2
04/06/2001,9484,S06E05,0.0496,0.1049,0.0801,37.00,2
03/09/2001,9601,N13E02,0.2730,0.4904,0.2930,327.31,2
25/09/2001,9628,S20E00,0.4045,0.7212,0.4767,274.00,2
29/09/2001,9636,N16E07,0.0397,0.3986,0.2554,100.30,2
06/11/2001,9687,S20E01,0.0968,0.3943,0.2367,333.10,2
10/11/2001,9690,S17E05,0.4169,0.6816,0.4435,518.83,2
11/11/2001,9690,S17W07,0.3623,0.6560,0.3822,518.83,2
29/11/2001,9715,N04E03,0.1886,0.3965,0.2904,262.60,2
09/01/2002,9773,N14W04,0.1712,0.3980,0.3168,290.56,2
14/03/2002,9866,S09E06,0.0769,0.3582,0.2569,163.70,2
15/03/2002,9866,S09W06,0.1017,0.3532,0.2742,163.70,2
10/04/2002,9893,N19W08,0.1117,0.2640,0.2084,248.70,2
15/04/2002,9906,S14W04,0.1439,0.3094,0.2365,215.82,2
28/07/2002,10039,S16E08,0.3375,0.5376,0.4921,733.80,2
28/07/2002,10044,S18E01,0.1464,0.4019,0.3570,309.70,2
15/08/2002,10066,N13E03,0.0298,0.1540,0.1453,22.40,2
17/08/2002,10069,S08E08,0.4020,0.6813,0.5715,1100.00,2
18/08/2002,10069,S08W07,0.4392,0.7171,0.5806,1100.00,2
23/08/2002,10083,S18W05,0.1390,0.1769,0.2134,135.80,2
03/10/2002,10137,S19E08,0.0993,0.1954,0.2050,174.64,2
04/10/2002,10137,S19W05,0.0645,0.2059,0.2142,174.64,2
25/10/2002,10162,N27W03,0.2010,0.4993,0.3659,246.48,2
16/12/2002,10227,N06W06,0.0298,0.0637,0.1110,28.30,2
17/12/2002,10226,S27W02,0.1911,0.2959,0.3312,231.60,2
19/12/2002,10229,N19W02,0.0695,0.3012,0.2240,42.30,2
07/01/2003,10244,S21W01,0.0000,0.1531,0.1213,40.17,2
23/01/2003,10266,N13W04,0.0372,0.0519,0.0702,65.81,2
21/04/2003,10338,N18E06,0.0273,0.0794,0.0678,399.41,2
24/10/2003,10484,N02E01,0.2605,0.4880,0.4011,696.70,2
18/11/2003,10501,N01E08,0.1464,0.2353,0.1946,404.78,2
19/11/2003,10501,N01W03,0.1092,0.2269,0.1833,404.78,2
18/01/2004,10540,S14E01,0.0943,0.2868,0.2208,179.69,2
23/07/2004,10652,N08E04,0.2308,0.5763,0.4502,670.64,2
12/08/2004,10656,S13E02,0.1762,0.4171,0.4164,1260.24,2
05/11/2004,10696,N09E06,0.1960,0.2312,0.2438,1120.55,2
06/11/2004,10696,N09W08,0.2382,0.2751,0.3237,1120.55,2
02/12/2004,10708,N09E01,0.0074,0.1085,0.0849,31.34,2
14/01/2005,10718,S07W08,0.0918,0.1860,0.1962,87.67,2
17/05/2005,10763,S17E06,0.1216,0.1161,0.1676,130.91,2
07/07/2005,10786,N11E08,0.1141,0.1878,0.2432,612.87,2
18/11/2005,10822,S08W01,0.0496,0.2446,0.1311,255.59,2
02/12/2005,10826,S04E06,0.0968,0.2215,0.2042,221.05,2
02/05/1998,8210,S17W12,0.1216,0.2231,0.1345,422.59,3
06/06/2000,9026,N21E18,0.1911,0.4713,0.4322,945.23,3
07/06/2000,9026,N20E05,0.1737,0.4356,0.4433,945.23,3
11/07/2000,9077,N17E45,0.4591,0.5440,0.4450,1256.40,3
12/07/2000,9077,N18E27,0.2605,0.4812,0.4272,1256.40,3
14/07/2000,9077,N17E02,0.2184,0.4170,0.4515,1256.40,3
24/11/2000,9236,N21W10,0.2134,0.3350,0.2221,1326.30,3
25/11/2000,9236,N21W24,0.1365,0.3658,0.2330,1326.30,3
29/03/2001,9393,N17W18,0.6179,0.8903,0.8736,2954.50,3
06/04/2001,9415,S21E42,0.2730,0.4382,0.3536,2811.82,3
10/04/2001,9415,S22W12,0.1787,0.3838,0.4026,2811.82,3
23/06/2001,9511,N10E23,0.0372,0.1030,0.0903,276.79,3
25/08/2001,9591,S18E40,0.4888,0.6020,0.3467,872.30,3
24/09/2001,9632,S18E28,0.3251,0.6723,0.3959,322.40,3
22/10/2001,9672,S19E23,0.2258,0.4881,0.2846,475.10,3
25/10/2001,9672,S19W16,0.2506,0.5218,0.2971,475.10,3
04/11/2001,9684,NO5W29,0.0918,0.2919,0.1742,145.00,3
15/07/2002,10030,N19E11,0.3424,0.4931,0.4716,793.73,3
27/05/2003,10365,S06W08,0.1588,0.2344,0.2584,599.27,3
26/10/2003,10486,S16E41,1.0000,1.0000,0.6908,6829.50,3
28/10/2003,10486,S18E04,0.5831,0.9171,1.0000,6829.50,3
29/10/2003,10486,S17W09,0.6104,0.9386,0.8726,6829.50,3
26/02/2004,10564,N14W28,0.1638,0.3743,0.3001,238.04,3
15/07/2004,10649,S10E48,0.5161,0.7240,0.4931,1381.59,3
16/07/2004,10649,S08E38,0.3722,0.5656,0.4306,1381.59,3
17/07/2004,10649,S08E24,0.1911,0.4984,0.3974,1381.59,3
13/08/2004,10656,S13W12,0.2382,0.4884,0.4220,1260.24,3
30/10/2004,10691,N13W14,0.1042,0.1941,0.1842,454.48,3
07/11/2004,10696,N08W21,0.2184,0.2925,0.3263,1120.55,3
01/01/2005,10715,N04E22,0.0670,0.1295,0.1337,158.56,3
15/01/2005,10720,N13W03,0.2184,0.4803,0.4165,2379.42,3
17/01/2005,10720,N13W29,0.3375,0.5447,0.4639,2379.42,3
13/09/2005,10808,S11E17,0.4020,0.5028,0.4743,4886.56,3
15/09/2005,10808,S11W13,0.2308,0.4930,0.4978,4886.56,3
